,ORF,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,orf,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
YAL018C,YAL018C,0.2895,1.7380000000000002,0.165800053,0.095397039,2.3227900000000004,0.0713797,YAL018C,1.015,0.5533102353721461,-1.7909594713117378,-2.339279793605011,0.8431994734610404,-2.6258294056465092
YAL019W,YAL019W,0.29925,1.5887,0.09250020099999999,0.058223831,2.19319,0.042176099999999994,YAL019W,0.995,0.46354531918468894,-2.369791692957186,-2.826431267418287,0.7858129579211753,-3.14246817756694
YAL020C,YAL020C,0.17175,1.6941,0.31549988100000004,0.186234509,2.04104,0.154578,YAL020C,0.91,0.5277417361423035,-1.1504324133853385,-1.675393388979001,0.7139493081892085,-1.8606080654089032
YAL021C,YAL021C,0.2715,1.3596,0.071599971,0.052662525999999994,1.90803,0.0375256,YAL021C,0.92,0.3079257789288232,-2.6227907566005024,-2.9250403609219084,0.6465952596541799,-3.2564323235948347
YAL022C,YAL022C,0.28825,1.7899,0.133700246,0.074697048,2.37217,0.056362,YAL022C,1.013,0.5827182867905566,-2.004703369286863,-2.5810161153360873,0.8642266141628353,-2.8583732157951425
YAL023C,YAL023C,0.38375,1.165,0.07590023,0.065150412,1.94018,0.0391202,YAL023C,0.9209999999999999,0.15357908792830058,-2.5652464115777422,-2.7158241601714823,0.6632960355904294,-3.215875330855962
YAL024C,YAL024C,0.26075,1.6876,0.17430042,0.10328301699999999,2.2143200000000003,0.07871510000000001,YAL024C,0.991,0.5238997832532625,-1.7412540911650631,-2.2606467586130643,0.7953968625883414,-2.529296250654549
YAL025C,YAL025C,0.38075,1.4428,0.064900166,0.04498209400000001,2.21192,0.0293411,YAL025C,0.0,0.36727852672292355,-2.7196143185087145,-3.0795032191442857,0.794312910392891,-3.4952520499510125
YAL027W,YAL027W,0.23975,1.5989,0.19430048100000002,0.121521346,2.0832,0.0932702,YAL027W,0.996,0.46994112729252907,-1.6332159782249125,-2.099470011116432,0.7343850885761901,-2.361590152010613
YAL028W,YAL028W,0.24875,1.806,0.345999599,0.19158338800000002,2.30848,0.149882,YAL028W,0.993,0.5916680116100914,-1.0584316546555421,-1.647226034635996,0.8370223909679343,-1.8912572046175058
YAL031C,YAL031C,0.26625,1.4609999999999999,0.18600052600000003,0.127310422,1.9988299999999999,0.0930547,YAL031C,1.011,0.3798053613275866,-1.6766438492972817,-2.0533027791709464,0.6930621769472405,-2.3638787510653327
YAL032C,YAL032C,0.254,1.4178,0.163900046,0.115601668,1.93088,0.0848836,YAL032C,0.0,0.3498114439173296,-1.8024157704596793,-2.148991699850741,0.6584936220600661,-2.4547623878934477
YAL033W,YAL033W,0.2385,1.3730000000000002,0.140399968,0.10225780599999999,1.85477,0.07569669999999999,YAL033W,0.0,0.31772619380015765,-1.9561627518280353,-2.2705264470931814,0.618299704271199,-2.567896596306357
YAL034C,YAL034C,0.258,1.3307,0.148099911,0.11129474,1.8518599999999998,0.0799736,YAL034C,1.018,0.2864563215259621,-1.9031386541264448,-2.1866282571592883,0.6167303912918964,-2.5136321033610223
YAL035W,YAL035W,0.4875,1.1440000000000001,0.09850003,0.086101425,2.12875,0.0462713,YAL035W,0.919,0.13540463700620298,-2.3075973333100976,-2.4406820347523452,0.7560046019408129,-3.051851932968524
YAL036C,YAL036C,0.38799999999999996,1.2937,0.029100021,0.022493639,2.07746,0.014007499999999999,YAL036C,1.011,0.2582790080824645,-3.5032294095531316,-3.7510255753237614,0.7316272348777919,-4.199205202838276
YAL038W,YAL038W,0.892,0.2165,0.020399968,0.09422618,2.0183400000000002,0.0101073,YAL038W,0.0,-1.5255564284533982,-3.844365852282552,-2.3515003749903864,0.7027707253510967,-4.50015272916822
YAL039C,YAL039C,0.2365,1.5987,0.144199965,0.090198264,2.0764299999999998,0.0694461,YAL039C,0.9440000000000001,0.4698161116654129,-1.9296434176383022,-2.39471941717074,0.7311315528356352,-2.652907400580001
YAL040C,YAL040C,0.33375,1.1138,0.120800399,0.108457891,1.78798,0.0675625,YAL040C,1.003,0.1086750166256559,-2.105371647849637,-2.212215360764242,0.5816456250342427,-2.680009540946688
YAL041W,YAL041W,0.26275,1.5787,0.088000132,0.05574215,2.10946,0.0417169,YAL041W,0.0,0.4572349555929144,-2.41911742610503,-2.869237958179737,0.7469059332060349,-3.153160652506275
YAL042W,YAL042W,0.2575,1.6708,0.122299924,0.073198423,2.19095,0.0558205,YAL042W,1.005,0.5139008902829186,-2.0931354851948347,-2.6010123824039306,0.784791558606634,-2.8678581028764034
YAL043C,YAL043C,0.266,1.8472,0.15129994,0.08190772,2.38452,0.0634509,YAL043C,0.0,0.6142121924718029,-1.8819034130403893,-2.4900270969306013,0.8694171299254649,-2.7418515853810193
YAL044C,YAL044C,0.29225,1.6281,0.074800144,0.045943212000000004,2.21845,0.0337173,YAL044C,0.86,0.4880277150899866,-2.579655086599468,-3.0588166631201883,0.7972594174418972,-3.360517157190799
YAL046C,YAL046C,0.27375,1.1357,0.170200369,0.149863845,1.68868,0.100789,YAL046C,1.0,0.1281293277105276,-1.7649206599029865,-1.891377537674764,0.5245391618937496,-2.284853235713901
YAL047C,YAL047C,0.28475,1.4305,0.244400562,0.17084974600000002,2.0057,0.121853,YAL047C,0.877,0.3587228455560327,-1.4048634565693991,-1.7611347537205548,0.696491581810335,-2.096766760288693
YAL048C,YAL048C,0.27875,1.4753,0.058800129000000007,0.039856388,2.03838,0.028846499999999997,YAL048C,1.002,0.38953895755790513,-2.816747460837242,-3.1976920929127477,0.7126458400939779,-3.511687698949512
YAL049C,YAL049C,0.3095,1.6727,0.164499971,0.098343977,2.29789,0.0715874,YAL049C,0.9990000000000001,0.5150367445374553,-1.798784259391621,-2.30916693587839,0.8324263977463935,-2.6229639259325843
YAL051W,YAL051W,0.273,1.5193,0.121199926,0.079773531,2.07076,0.05852919999999999,YAL051W,1.01,0.4189076838046532,-2.1020968378094738,-2.516105953756973,0.7283984875725805,-2.8212883305095224
YAL053W,YAL053W,0.31675,1.6301,0.07450011200000001,0.045702785999999995,2.26994,0.032820300000000004,YAL053W,1.006,0.4892546338378476,-2.5836211392845496,-3.0639514586991363,0.8201938426951447,-3.3866940650602113
YAL054C,YAL054C,0.3695,1.3837,0.03550008,0.025655907999999998,2.13009,0.016666,YAL054C,1.022,0.32548350967853107,-3.310440826615271,-3.624744464384213,0.7566335859177645,-4.036113390659197
YAL055W,YAL055W,0.23275,1.9904,0.448902106,0.225533614,2.4605599999999996,0.18243900000000002,YAL055W,0.986,0.6888379089718468,-0.7987252621057352,-1.4848619388891409,0.9007952952999085,-1.695873091821093
YAL058W,YAL058W,0.27175,1.4974,0.325701613,0.21751142899999998,2.0463400000000003,0.159163,YAL058W,0.94,0.4043978721477417,-1.1187080231359998,-1.5209169591782812,0.7165413896135359,-1.8315632323219233
YAL059W,YAL059W,0.32725,1.4717,0.262400764,0.17829772600000002,2.13275,0.12303399999999999,YAL059W,0.992,0.38709745074997937,-1.334078589145652,-1.7187075811062438,0.7578809951265133,-2.087199557412894
YAL060W,YAL060W,0.3655,1.4258,0.106699929,0.07483513,2.16411,0.0493043,YAL060W,1.012,0.3554341745025993,-2.228406354058637,-2.5791936372322075,0.7724711684778423,-2.9896647184527207
YAL061W,YAL061W,0.26725,1.7385,0.081800284,0.047052219000000006,2.27835,0.0359033,YAL061W,1.01,0.5535977156098596,-2.4913237876451144,-3.0354669635707534,0.8238903146018222,-3.2994543010400506
YAR002C-A,YAR002C-A,0.41100000000000003,1.3991,0.10980002900000001,0.078479043,2.22932,0.049252699999999996,YAR002C-A,1.0170000000000001,0.3365436626417425,-2.2000282429361357,-2.532261902135984,0.8021450729350564,-2.990691002143145
YAR002W,YAR002W,0.278,1.7249,0.351799309,0.20395345199999998,2.28646,0.153862,YAR002W,0.8190000000000001,0.5457486535552204,-1.0418559134681988,-1.584972389041163,0.8274420316758536,-1.8652208812160869
YAR003W,YAR003W,0.26125,1.4493,0.082100125,0.056648122999999995,1.9770299999999998,0.041527,YAR003W,0.996,0.37177043158406725,-2.487709072910073,-2.8533975913400416,0.682101399920692,-3.1576161106479996
YAR007C,YAR007C,0.35700000000000004,1.5095,0.036199941,0.023981412,2.23064,0.0162285,YAR007C,0.0,0.4124407218445896,-3.2914481037257994,-3.6896232506620192,0.802736741187801,-4.061190289689941
YAR015W,YAR015W,0.3925,1.1987,0.065800015,0.054892813,1.99155,0.033039599999999995,YAR015W,0.861,0.1820715255387453,-2.706051973888664,-2.884319475959757,0.689415225470267,-3.380230726227322
YAR018C,YAR018C,0.27725,1.3619999999999999,0.042100199000000005,0.030910572,1.92205,0.021903799999999998,YAR018C,0.9640000000000001,0.30968815271439537,-3.1442276647137204,-3.444817913437413,0.653912467308663,-3.776452443323645
YBL007C,YBL007C,0.33325,1.3983,0.150500374,0.107630962,2.07147,0.0726539,YBL007C,0.8220000000000001,0.3359721115795306,-1.8871671853888956,-2.219798810826817,0.7287411326511339,-2.608378184318644
YBL009W,YBL009W,0.266,1.485,0.262800484,0.176970023,2.02232,0.12995,YBL009W,1.016,0.39608794629556743,-1.3325622039773306,-1.7261401529849867,0.7047397265957525,-2.032939708028416
YBL010C,YBL010C,0.24925,1.4239,0.227800151,0.159983251,1.9273900000000002,0.118191,YBL010C,1.006,0.35410163581960596,-1.474906359511677,-1.8264549504651804,0.6566854578897532,-2.1270280305571143
YBL011W,YBL011W,0.2975,1.3508,0.110999926,0.082173472,1.95175,0.056872000000000006,YBL011W,1.0,0.3014370376841166,-2.1892570684015467,-2.4868268281510626,0.6692386355082697,-2.849521603772395
YBL013W,YBL013W,0.1985,1.7051,0.308000101,0.18063462600000002,2.10607,0.146244,YBL013W,1.01,0.5342100639987266,-1.1744136752236034,-1.7057581591843352,0.745298356861556,-1.915664204309486
YBL021C,YBL021C,0.20175,1.9304,0.052000227999999996,0.02693754,2.33794,0.022241900000000002,YBL021C,0.9840000000000001,0.6582451285506803,-2.9374590635524758,-3.5777839748420366,0.849697835284995,-3.761798594746429
YBL023C,YBL023C,0.32675,1.5468,0.032900012,0.021269726,2.20684,0.0149082,YBL023C,0.0,0.4368345678542216,-3.384339910613494,-3.804527101335923,0.7920146620211073,-4.140920579425052
YBL024W,YBL024W,0.41175,1.3529,0.06910016299999999,0.051075588,2.1846400000000004,0.03163,YBL024W,1.002,0.3029893165189281,-2.6578301596946527,-2.955059000492224,0.7819086918374033,-3.422523168376908
YBL030C,YBL030C,0.64675,0.6316,0.043800092,0.069347833,1.9380400000000002,0.0226002,YBL030C,0.0,-0.4579169681105885,-3.1055450859918774,-2.654303299023386,0.6621930052380403,-3.7465000924102103
YBL031W,YBL031W,0.25975,1.3042,0.194499857,0.149133459,1.8289,0.106348,YBL031W,0.998,0.26635628573702846,-1.6321956310147847,-1.8962306537913687,0.6042613205515044,-2.231679385478315
YBL033C,YBL033C,0.22875,2.0336,0.161900252,0.079612634,2.49568,0.0648722,YBL033C,0.9329999999999999,0.7102992393775107,-1.8146172164140082,-2.5180998923738023,0.9149618493006968,-2.7200387777677957
YBL034C,YBL034C,0.28975,1.5869,0.20430040600000002,0.128741828,2.1722,0.0940523,YBL034C,0.0,0.4624123885499144,-1.5832809773654393,-2.0422087415785897,0.776200735695231,-2.353328012549824
YBL036C,YBL036C,0.31875,2.0441,0.21120050199999998,0.103322001,2.68798,0.0785722,YBL036C,1.008,0.7154466880547121,-1.5502236871123098,-2.2602729996227238,0.9891619395498821,-2.5310904933636236
YBL037W,YBL037W,0.27875,1.5944,0.09090024199999999,0.057012194,2.15748,0.0421326,YBL037W,1.016,0.467124488494892,-2.3870516163269007,-2.847102049154029,0.7694042702766996,-3.1434761872735697
YBL038W,YBL038W,0.28300000000000003,1.4535,0.11520001199999999,0.07925697400000001,2.02516,0.0568844,YBL038W,0.84,0.3746621989531192,-2.152442331294108,-2.5225216173211042,0.7061423760547566,-2.8493073607577983
YBL043W,YBL043W,0.33575,2.2552,0.35169945700000005,0.155950451,2.93342,0.119894,YBL043W,0.996,0.8136819821886828,-1.042138981293343,-1.8518251221717024,1.0765098187601623,-2.112841150384453
YBL045C,YBL045C,0.4265,1.3379,0.09279989,0.069362352,2.19943,0.0421927,YBL045C,0.961,0.29184838132119684,-2.366591595678535,-2.654096931587347,0.7886527958109736,-3.142083779492533
YBL046W,YBL046W,0.26325,1.8207,0.265201001,0.145658813,2.3524700000000003,0.11273299999999999,YBL046W,1.011,0.5997701310546462,-1.3235036126976174,-1.9196463898989433,0.8558908348052227,-2.1739016828693742
YBL049W,YBL049W,0.3025,1.1788,0.021100005,0.017899563,1.78985,0.0117887,YBL049W,1.01,0.1653449325868378,-3.8121774442141114,-3.9686164788769727,0.5826903674773698,-4.359193310465015
YBL051C,YBL051C,0.33075,1.8553,0.19550045,0.10537403699999999,2.52342,0.07747439999999998,YBL051C,0.986,0.6185852592330404,-1.6270905575991075,-2.2407937450085424,0.9260113333712582,-2.544982822030402
YBL052C,YBL052C,0.2565,1.9369,0.352500572,0.181992138,2.45503,0.143583,YBL052C,1.0090000000000001,0.6616049125500667,-1.039870175542151,-1.6983120888122323,0.898546225194007,-1.9339015418673398
YBL054W,YBL054W,0.28825,1.8015,0.216100431,0.119955832,2.38377,0.0906549,YBL054W,1.013,0.589174590176967,-1.5273952168396128,-2.112329824816551,0.8691026836313487,-2.3897248418593557
YBL055C,YBL055C,0.26825,1.3893,0.249200108,0.17937098399999998,1.93117,0.12904100000000002,YBL055C,1.01,0.3295195511933605,-1.3854942492947433,-1.7127395268622296,0.6586437236377085,-2.039905493634443
YBL056W,YBL056W,0.33399999999999996,1.6615,0.06909999900000001,0.041588925,2.33618,0.0295782,YBL056W,1.014,0.5083224935478721,-2.6578324992069278,-3.156161036032389,0.8489450744135424,-3.4874679422149644
YBL057C,YBL057C,0.2645,1.5582,0.17099995699999998,0.10974198199999999,2.09249,0.08172080000000001,YBL057C,1.012,0.44417286921121396,-1.7602610521687154,-2.200552269968899,0.7388325297758985,-2.4922841970888996
YBL058W,YBL058W,0.27575,1.6385,0.17710030300000001,0.10808685,2.19552,0.08066439999999998,YBL058W,0.877,0.49439131730256586,-1.7254083873965589,-2.2156109250299965,0.7868742897871899,-2.505137112592741
YBL061C,YBL061C,0.2385,1.7806,0.219700108,0.123385436,2.26237,0.0971106,YBL061C,1.01,0.5775118369610207,-1.5109504763675043,-2.0843701794857323,0.8168548530658226,-2.32165986524099
YBL063W,YBL063W,0.28375,1.7213,0.236301612,0.137280899,2.29448,0.102987,YBL063W,1.011,0.5436606068595637,-1.438423322474575,-1.97846816264814,0.8309419719704254,-2.2634893876539155
YBL064C,YBL064C,0.35200000000000004,1.9047,0.04070013,0.021368263,2.61574,0.015559700000000001,YBL064C,1.011,0.6448493951521932,-3.1772510326762453,-3.800112155131477,0.961929268211208,-4.100783246131148
YBL066C,YBL066C,0.27325,1.8277,0.162000319,0.088636165,2.37967,0.0680768,YBL066C,1.012,0.6036053318984502,-1.814003121122075,-2.4119964132046685,0.8673819606711869,-2.672536349880255
YBL067C,YBL067C,0.2695,1.791,0.235099041,0.131266913,2.3353900000000003,0.100668,YBL067C,1.001,0.5833323145527386,-1.4435038967371232,-2.0229333298420697,0.8486070030858319,-2.2860426763747346
YBL068W,YBL068W,0.345,1.2818,0.024200095,0.018879774,1.9787,0.0122303,YBL068W,1.006,0.24904518883686275,-3.6809075146305954,-3.918052446027583,0.6829453180753485,-4.325245625375402
YBL069W,YBL069W,0.29975,1.5618,0.083500217,0.053464091,2.1673,0.0385273,YBL069W,1.013,0.44647908419877846,-2.471001176574969,-2.910213675204187,0.7739434503880349,-3.23076370656129
YBL074C,YBL074C,0.2855,1.7378,0.302200942,0.17389857399999997,2.31451,0.13056800000000002,YBL074C,0.0,0.5531952201324999,-1.1933595183585886,-1.743549050221236,0.8396299656510022,-2.0282314507535975
YBL075C,YBL075C,0.32675,1.6999,0.038500061,0.022648427000000002,2.35994,0.016314,YBL075C,1.001,0.5311575227379088,-3.231453062772456,-3.7444586778840985,0.8590598448198511,-4.056239856188555
YBL076C,YBL076C,0.49175,1.1887,0.049400075999999994,0.041558068999999996,2.18204,0.0226394,YBL076C,0.0,0.17370117450034325,-2.987762595969443,-3.1568858062186553,0.7807184008080892,-3.7448404674769953
YBL078C,YBL078C,0.2715,1.2156,0.011599996999999999,0.00954261,1.76403,0.00657585,YBL078C,1.016,0.19606008290446783,-4.374058703119971,-4.552330138440203,0.5681676874079487,-4.882789722660791
YBL086C,YBL086C,0.2515,2.1022,0.154899923,0.073684675,2.61023,0.0593434,YBL086C,1.008,0.7434599944335343,-1.8585409968248785,-2.5944803618394454,0.9598213746922413,-2.807703699473743
YBL089W,YBL089W,0.245,1.528,0.171999905,0.112565383,2.0229,0.08502639999999999,YBL089W,0.998,0.4246139269469252,-1.7544642336174567,-2.175376546246503,0.7050263430900228,-2.4531010530921638
YBL090W,YBL090W,0.267,1.3991,0.146399906,0.104638629,1.9384400000000002,0.07552460000000001,YBL090W,0.858,0.3365436626417425,-1.9146059369475927,-2.247731169676043,0.6623992716111649,-2.5701430212143053
YBL091C,YBL091C,0.36375,1.3508,0.081900101,0.060630812,2.0855799999999998,0.0392697,YBL091C,1.014,0.3014370376841166,-2.490118998506286,-2.78659333869319,0.7355263620350299,-3.212155953860951
YBL095W,YBL095W,0.237,1.9980000000000002,0.239600075,0.11991995800000001,2.47674,0.09674010000000001,YBL095W,1.025,0.6926470555182631,-1.424619163720909,-2.112626456408022,0.9073468543768511,-2.3254433640180814
YBL097W,YBL097W,0.27975,1.9821,0.21790047899999998,0.10993415,2.5472,0.0855451,YBL097W,0.0,0.6846612769096471,-1.5191380862419177,-2.198818496951445,0.9353872275651435,-2.447089613636189
YBL098W,YBL098W,0.30375,1.3408,0.116900263,0.08718695,1.95438,0.0598145,YBL098W,1.028,0.2940119961466505,-2.1379162407373133,-2.428296286100105,0.6705845479508015,-2.799927031601377
YBL101C,YBL101C,0.25075,1.6912,0.17910033399999997,0.10590133300000001,2.19772,0.0814937,YBL101C,1.031,0.5260294575082635,-1.7142411722766826,-2.2358489914311273,0.787875372860574,-2.4950333521937162
YBL102W,YBL102W,0.2355,1.2862,0.06349994099999999,0.049370192,1.7619099999999999,0.0360404,YBL102W,1.023,0.25246931669603634,-2.7410909699095107,-2.988355707439109,0.5669658527649679,-3.2957460701263996
YBL103C,YBL103C,0.2675,1.3405,0.135099951,0.100783253,1.88085,0.0718292,YBL103C,0.993,0.2937883908835417,-1.9943657293541717,-2.2849096972396428,0.632255335542571,-2.619638305297059
YBL104C,YBL104C,0.27975,1.7353,0.110100135,0.06344732,2.3004,0.0478613,YBL104C,1.0070000000000001,0.551756412367955,-2.197323367215779,-2.7419071330837097,0.833517633407221,-3.0187696068753014
YBL105C,YBL105C,0.301,1.6515,0.089800103,0.054374873,2.25952,0.039743,YBL105C,0.0,0.5022892927437043,-2.399094859014299,-2.893629344073192,0.8155948753134715,-3.200471233192096
YBL106C,YBL106C,0.27475,1.7399,0.16860033600000002,0.096902314,2.2949,0.0734674,YBL106C,1.012,0.5544022208825352,-1.7743105744942211,-2.32378509336137,0.8311249235018481,-2.597393833257011
YBR002C,YBR002C,0.2495,1.2497,0.058700037999999996,0.046971303,1.7536900000000002,0.0334723,YBR002C,0.0,0.22370339457272378,-2.8184226220678705,-3.0371523010269774,0.562292203138831,-3.3675991759912214
YBR003W,YBR003W,0.2675,1.4980000000000002,0.067299998,0.044926568,2.03835,0.0330169,YBR003W,0.9790000000000001,0.4047982191204607,-2.68384554168797,-3.080711505839951,0.712631129632633,-3.3808978190352628
YBR015C,YBR015C,0.35025,1.4713,0.195800504,0.13307993199999998,2.17881,0.0898658,YBR015C,0.9640000000000001,0.38682580388922577,-1.6255647333916536,-2.0093191494083973,0.7792377170393932,-2.398371586217599
YBR016W,YBR016W,0.21125,1.8256,0.107100319,0.058665819,2.2523299999999997,0.0475509,YBR016W,1.008,0.6024563152754414,-2.2246956033700056,-2.8189959686143187,0.8124091220957279,-3.0251425468265087
YBR017C,YBR017C,0.2955,1.3113,0.065600062,0.050026738,1.90821,0.0343778,YBR017C,0.861,0.27178132292010376,-2.709049770505296,-2.9754055091318725,0.6466895439318227,-3.341670774207622
YBR018C,YBR018C,0.35700000000000004,1.5098,0.143500084,0.095045757,2.2309400000000004,0.0643227,YBR018C,1.026,0.4126393118561647,-1.9344751901149402,-2.342930565652213,0.8028711624373146,-2.728415676767819
YBR019C,YBR019C,0.35275,1.5521,0.125900376,0.08111615,2.2646599999999997,0.0555935,YBR019C,1.013,0.4402529335938283,-2.0643529413032216,-2.4996205705412415,0.817866107217441,-2.8718611413571304
YBR020W,YBR020W,0.38675,1.5046,0.10450014699999999,0.069453773,2.2858400000000003,0.0457163,YBR020W,0.997,0.409191489848978,-2.249042932702058,-2.652798486358232,0.827170951946148,-3.0636621388037506
YBR021W,YBR021W,0.327,1.3419999999999999,0.06360007,0.047392004,2.00254,0.031759699999999995,YBR021W,1.02,0.29490591754110035,-2.7395397846028366,-3.0284206855192366,0.694915615955906,-3.418556177548356
YBR022W,YBR022W,0.282,1.3643,0.235700871,0.17276322800000002,1.9339400000000002,0.121876,YBR022W,1.016,0.31137418470856887,-1.4409580827055555,-1.7500616650610568,0.6600763182490569,-2.096579562195939
YBR024W,YBR024W,0.28575,1.5013,0.181900431,0.12116194699999999,2.07852,0.08751439999999999,YBR024W,1.016,0.4069972670862409,-1.6988133671091432,-2.1024076800848217,0.7321370978511412,-2.424590028339986
YBR025C,YBR025C,0.63725,0.8279,0.063200047,0.07633777900000001,2.11515,0.029879700000000002,YBR025C,0.946,-0.18765575838465653,-2.745751336199262,-2.559572710567289,0.7495983999523932,-3.4776562688986594
YBR026C,YBR026C,0.32,1.4052,0.08649997,0.061557052,2.0516,0.0421622,YBR026C,0.8420000000000001,0.3408910307829238,-2.43611682847577,-2.771676306617542,0.719107282229477,-3.1427901667680262
YBR028C,YBR028C,0.281,1.6951,0.118900053,0.070143386,2.2627200000000003,0.05254740000000001,YBR028C,0.991,0.5283314978956563,-2.121096774913737,-2.643057917305488,0.8170094777809033,-2.9271880360215374
YBR029C,YBR029C,0.3185,1.1711,0.050200034000000004,0.042865710999999994,1.81447,0.027666500000000004,YBR029C,0.0,0.15879701174699748,-2.972015082874395,-3.126622334710628,0.5963443873622736,-3.552026085367128
YBR034C,YBR034C,0.4165,1.3248,0.025599973999999998,0.019323652,2.16613,0.011818299999999999,YBR034C,1.001,0.282016050825154,-3.6268450406385706,-3.895969948010904,0.7734037115254982,-4.356881441586686
YBR035C,YBR035C,0.36075,1.3785,0.066600163,0.048313502,2.10722,0.0316057,YBR035C,0.917,0.3217211146752037,-2.694144884693522,-3.0095573611908453,0.745843989559914,-3.423268159267598
YBR036C,YBR036C,0.30875,1.369,0.088500299,0.064645945,1.99268,0.04441269999999999,YBR036C,1.02,0.31481073984003344,-2.4135133129247848,-2.7234794470869135,0.6899821772167887,-3.0919634773707467
YBR037C,YBR037C,0.231,1.5859999999999999,0.13299992300000002,0.083858716,2.05262,0.0647952,YBR037C,0.935,0.4618454415442719,-2.009916053658256,-2.4667675701261067,0.7196040895223056,-2.721208391639992
YBR038W,YBR038W,0.31925,1.4805,0.027800101,0.018777508000000002,2.1253900000000003,0.013080000000000001,YBR038W,0.0,0.39305508803148276,-3.5473763849019417,-3.923209946568741,0.7544257061817377,-4.26299992825224
YBR039W,YBR039W,0.48175,0.9047,0.041400175,0.045761219000000006,1.8778400000000002,0.022046700000000002,YBR039W,0.8190000000000001,-0.0990471536012343,-3.160602789394252,-3.0627010734280757,0.6306545651292949,-3.770232686817056
YBR040W,YBR040W,0.28225,1.7619999999999998,0.11710028300000001,0.066458731,2.33215,0.05021130000000001,YBR040W,1.0190000000000001,0.567016903415733,-2.1362211595073477,-2.6962392606729115,0.8472192858717357,-2.9717950681630265
YBR042C,YBR042C,0.28475,1.5315,0.144400381,0.094286896,2.1067,0.06854339999999999,YBR042C,1.015,0.4269003888282294,-1.9282640935285171,-2.350862980399628,0.7455973055608643,-2.66580426087402
YBR043C,YBR043C,0.2725,1.3936,0.12740001199999998,0.091417919,1.94405,0.0655333,YBR043C,1.01,0.3326076358047732,-2.052604794268337,-2.3814343905647846,0.6652876836808659,-2.7100527047750127
YBR047W,YBR047W,0.28075,1.8523,0.189700432,0.102413449,2.41942,0.0784074,YBR047W,1.0090000000000001,0.6169678338211274,-1.657051501040102,-2.2690202576676186,0.8839410788288989,-2.53316371607936
YBR050C,YBR050C,0.28225,1.8357,0.377999934,0.20591596399999998,2.40585,0.157117,YBR050C,1.013,0.6079704831523522,-0.9702192480422062,-1.575442539159803,0.8783188386206017,-1.844420013665591
YBR052C,YBR052C,0.295,1.5148,0.16170009400000002,0.10674682699999999,2.1107,0.0766097,YBR052C,1.005,0.41594335239579155,-1.8158466870068508,-2.2279709982276983,0.7474933103000585,-2.556062859604813
YBR053C,YBR053C,0.29475,1.6764,0.158400346,0.094488396,2.2718,0.06972460000000001,YBR053C,1.018,0.517244975568174,-1.8363363419884786,-2.348750546731533,0.821012551557841,-2.6489618175192304
